丶	dot		
丨	vertical line		
亅	hook		
丿	slash		
几	table	desk	
儿	legs		
乂	regulate		
冂	upside-down box		
亠	kettle lid		
勹	wrapping enclosure		
匸	hiding enclosure		
亻	thin person		
厶	katakana mu		
卩	crooked seal		
冖	cower		
冫	ice		
凵	open box		
刂	knife		
厂	cliff		
匚	box-on-side		
彐	pig snout		
彑	crooked pig snout		
弋	shoot with bow		
夂	go		
兀	towering	lofty	
廾	two hands		
尸	corpse with flag		
囗	closed box		
宀	roof with chimney		
于	out of		
巛	curving river		
幺	short thread		
广	dotted cliff		
阝	mound (left) / town (right)		
廴	long stride		
彡	bristle	short hair	
彳	step with left foot		
扌	small hand		
忄	thin heart		
尢	lame		
氵	water drops		
屮	sprout		
壬	9th in rank		
戈	spear		
歹	bare bone		
灬	fire sparks		
尹	official rank		
攵	rap	hit, strike	
辶	walking on a road		
殳	weapon		
气	blowing a steam		
礻	cult		
毋	do not		
爿	split wood		
夬	certain		
禾	grain on stalk	rice plant	
乍	while		
衤	clothes on mannequin		
氺	water splash		
罒	small net		
疒	sickness		
癶	footsteps		
旡	choke	sob	
亦	also		
虍	tiger stripes		
艮	northeast	stopping	
聿	pencil	writing brush	
耒	handle of plow		
舛	opposite		
耂	old grave		
豕	pig		
豸	badger		
釆	distinguish		
其	that		
隹	small bird		
隶	servant		
兔	hare		
飠	eat less		
巷	alley	lane	
韋	tanned leather		
樣	way	manner, shape, form, pattern, style	
一	one	one	one
二	two	two	two
三	three	three	three
四	four	four	four
五	five	five	five
六	six	six	six
七	seven	seven	seven
八	eight	eight	eight
九	nine	nine	nine
十	ten	ten	ten
口	mouth	mouth	mouth
日	day	day, sun, Japan	day
月	month	moon, month	month, moon
田	rice field	rice field	rice paddy
目	eye	eye, item	eye
古	old	old	old
吾	I	I	
冒	risk	risk	risk
朋	companion	comrade	
明	bright	bright, clear	bright
唱	chant	sing	chant
晶	sparkle	crystal	sparkle
品	goods	article	article
呂	spine	phonetic (ro)	spine
昌	prosperous	prospering	
早	early	early, quick	early
旭	rising sun	rising sun	
世	generation	world, age	world
胃	stomach	stomach	stomach
旦	nightbreak	daybreak	daybreak
胆	gallbladder	gallbladder	gall bladder
亘	span	extend over	
凹	concave	concave	concave
凸	convex	convex	convex
旧	olden times	former	old times
自	oneself	self	oneself
白	white	white	white
百	hundred	hundred	hundred
中	in	middle, in	middle
千	thousand	thousand	thousand
舌	tongue	tongue	tongue
升	measuring box	sho	measuring box
昇	rise up	ascend	rise up
丸	round	round	circle
寸	measurement	a bit of	measurement
専	specialty	exclusive	specialty
博	Dr.	extensive, doctor	Dr.
占	fortune-telling	occupy, divine	fortune telling
上	above	up	up
下	below	down	below
卓	eminent	table, prominent	eminent
朝	morning	morning, dynasty	morning
只	only	free of charge, ordinary	
貝	shellfish	shellfish	shellfish
貞	upright	chaste	upright
員	employee	member	member
見	see	see	see
児	newborn babe	child	child
元	beginning	origin	origin
頁	page	page	
頑	stubborn	stubborn	stubborn
凡	mediocre	commonplace	mediocre
負	defeat	bear, lose	lose
万	ten thousand	ten thousand	ten thousand
句	phrase	phrase, haiku	phrase
肌	texture	skin	texture
旬	decameron	ten-day period	10-day period (of the month)
勺	ladle	shaku	
的	bull’s eye	target, adjectival suffix	target
首	neck	head, neck, leader	neck
乙	fishguts	second	the latter
乱	riot	disordered	riot
直	straightaway	straight, fix	straight
具	tool	implement	tool
真	true	true	true
工	craft	manufacture, construction	craft
左	left	left	left (direction)
右	right	right	right (direction)
有	possess	have	have
賄	bribe	bribe	bribe
貢	tribute	tribute	tribute
項	paragraph	clause	paragraph
刀	sword	sword	sword
刃	blade	blade	blade
切	cut	cut	cut
召	seduce	summon	summon
昭	shining	luminous	shining
則	rule	rule	rule
副	vice-	secondary	vice
別	separate	separate, another	separate
丁	street	town subsection, miscellaneous counter	ward
町	village	town	town
可	can	~able, approve	possible
頂	place on the head	summit, receive humbly	place on the head
子	child	child, noun suffix	child
孔	cavity	open hole	cavity
了	complete	finish, comprehend	finish
女	woman	woman	woman
好	fond	like, favorable	like
如	likeness	as	likeness
母	mama	mother	mother
貫	pierce	penetrate	pierce
兄	elder brother	older brother	older brother
克	overcome	overcome	overcome
小	little	small	small
少	few	little	few
大	large	big, university	large
多	many	many	many
夕	evening	evening	evening
汐	eventide	tide	
外	outside	outside	outside
名	name	name	name
石	stone	stone	stone
肖	resemblance	model	resemblance
硝	nitrate	niter	nitrate
砕	smash	crush up	smash
砂	sand	sand	sand
削	plane	cut by chipping	plane
光	ray	light	ray
太	plump	great, thick	thick
器	utensil	vessel, instrument	container
臭	stinking	bad smell	stinking
妙	exquisite	marvelous	exquisite
省	focus	ministry, save, introspect	government ministry
厚	thick	thick, kind	thick
奇	strange	unusual	strange
川	stream	river	river
州	state	state	state
順	obey	order, obey	obey
水	water	water	water
氷	icicle	ice	ice
永	eternity	eternal	eternity
泉	spring	spring	spring
原	meadow	plain, original	field
願	petition	wish, ask a favor	request
